题号,题型,指标名称,选项或维度,统计值,样本数,选择率,排序值,备注
Q9,李克特量表,均值,可操作性,4.14375,160,,4.14375,量表范围1到5
Q9,李克特量表,均值,规范性,4.13125,160,,4.13125,量表范围1到5
Q9,李克特量表,均值,数据支撑度,4.1125,160,,4.1125,量表范围1到5
Q9,李克特量表,均值,实践价值,4.04375,160,,4.04375,量表范围1到5
Q9,李克特量表,均值,工作量,3.9375,160,,3.9375,量表范围1到5
Q9,李克特量表,均值,团队协作,3.83125,160,,3.83125,量表范围1到5
Q9,李克特量表,均值,理论应用性,3.81875,160,,3.81875,量表范围1到5
Q9,李克特量表,均值,创新性,3.7375,160,,3.7375,量表范围1到5
Q10,权重分配题,平均权重,校内学术导师,26.01875,160,,26.01875,单位为百分比
Q10,权重分配题,平均权重,校外企业导师,21.0125,160,,21.0125,单位为百分比
Q10,权重分配题,平均权重,学院专家评审组,17.33125,160,,17.33125,单位为百分比
Q10,权重分配题,平均权重,企业客户/受益方,19.9625,160,,19.9625,单位为百分比
Q10,权重分配题,平均权重,学生自评,15.675,160,,15.675,单位为百分比
